id,name,category,price,quantity,date
1,Product_A,Clothing,invalid,9,2024-01-03
2,Product_B,Electronics,invalid,,2024-02-01
3,Product_C,Clothing,invalid,,
4,Product_D,Clothing,invalid,ten,2024-01-21
5,Product_E,Grocery,invalid,9,2024-01-28
6,Product_F,Grocery,invalid,ten,2024-02-22
7,Product_G,Clothing,invalid,1,
8,Product_H,Clothing,1499,ten,2024-02-22
9,Product_I,Grocery,invalid,2,
10,Product_J,Clothing,1144,,2024-02-22
11,Product_K,Grocery,,ten,2024-01-05
12,Product_L,Electronics,,1,2024-01-03
13,Product_M,Grocery,,,2024-01-28
14,Product_N,Grocery,868,6,
15,Product_O,Electronics,invalid,,2024-02-11
16,Product_P,Electronics,,ten,
17,Product_Q,Grocery,invalid,ten,2024-02-23
18,Product_R,Grocery,2343,,2024-02-02
19,Product_S,Electronics,invalid,3,2024-01-23
20,Product_T,Clothing,627,ten,2024-01-03
21,Product_U,Grocery,1727,3,
22,Product_V,Grocery,invalid,,
23,Product_W,Electronics,,,
24,Product_X,Clothing,invalid,,2024-02-25
25,Product_Y,Electronics,,4,2024-02-06
26,Product_Z,Grocery,,,
27,Product_A,Clothing,2430,5,2024-02-12
28,Product_B,Electronics,1017,10,
29,Product_C,Electronics,,5,2024-01-22
30,Product_D,Grocery,invalid,,2024-02-10
31,Product_E,Electronics,1690,8,2024-02-15
32,Product_F,Electronics,1874,ten,
33,Product_G,Grocery,,,2024-01-25
34,Product_H,Grocery,1870,ten,2024-01-08
35,Product_I,Clothing,invalid,5,2024-01-24
36,Product_J,Clothing,394,ten,
37,Product_K,Grocery,,ten,2024-02-24
38,Product_L,Electronics,,,2024-01-22
39,Product_M,Clothing,invalid,2,
40,Product_N,Electronics,invalid,8,
41,Product_O,Electronics,2478,,
42,Product_P,Electronics,,,2024-02-20
43,Product_Q,Clothing,,,
44,Product_R,Clothing,178,1,
45,Product_S,Grocery,1244,9,
46,Product_T,Grocery,780,ten,
47,Product_U,Electronics,1874,,2024-01-17
48,Product_V,Clothing,1986,,2024-01-07
49,Product_W,Grocery,1632,7,2024-02-18
50,Product_X,Electronics,invalid,9,
51,Product_Y,Grocery,invalid,5,
52,Product_Z,Clothing,1890,ten,2024-02-06
53,Product_A,Electronics,1082,10,2024-02-08
54,Product_B,Clothing,invalid,,2024-01-23
55,Product_C,Electronics,,ten,2024-01-27
56,Product_D,Clothing,,ten,2024-03-01
57,Product_E,Electronics,invalid,ten,2024-02-13
58,Product_F,Clothing,,ten,2024-01-18
59,Product_G,Electronics,invalid,ten,
60,Product_H,Grocery,invalid,9,2024-02-29
61,Product_I,Clothing,,6,2024-03-01
62,Product_J,Grocery,,ten,2024-02-25
63,Product_K,Clothing,,ten,2024-01-21
64,Product_L,Grocery,,,
65,Product_M,Grocery,,3,2024-02-23
66,Product_N,Grocery,,2,2024-02-24
67,Product_O,Electronics,invalid,4,2024-02-06
68,Product_P,Electronics,2466,ten,
69,Product_Q,Electronics,,4,
70,Product_R,Grocery,1377,ten,2024-02-09
71,Product_S,Grocery,invalid,ten,2024-02-17
72,Product_T,Electronics,1448,,
73,Product_U,Grocery,invalid,,2024-01-16
74,Product_V,Electronics,invalid,ten,
75,Product_W,Electronics,,ten,
76,Product_X,Clothing,1903,6,
77,Product_Y,Clothing,2425,6,2024-01-04
78,Product_Z,Grocery,invalid,5,2024-02-13
79,Product_A,Electronics,528,ten,2024-01-08
80,Product_B,Electronics,,4,2024-01-01
81,Product_C,Electronics,,7,2024-02-23
82,Product_D,Electronics,758,ten,
83,Product_E,Electronics,,4,2024-01-20
84,Product_F,Grocery,invalid,ten,2024-02-23
85,Product_G,Clothing,,,
86,Product_H,Electronics,,2,
87,Product_I,Clothing,,ten,2024-01-11
88,Product_J,Electronics,invalid,,2024-01-07
89,Product_K,Clothing,2431,2,2024-02-15
90,Product_L,Grocery,invalid,,2024-02-19
91,Product_M,Clothing,264,,
92,Product_N,Grocery,1180,,2024-02-26
93,Product_O,Clothing,,ten,2024-02-19
94,Product_P,Clothing,invalid,,
95,Product_Q,Electronics,invalid,ten,
96,Product_R,Electronics,,ten,2024-01-24
97,Product_S,Electronics,1120,8,
98,Product_T,Grocery,,,2024-01-26
99,Product_U,Grocery,2486,,
100,Product_V,Electronics,2189,ten,2024-01-07
101,Product_W,Grocery,invalid,7,
102,Product_X,Grocery,,,2024-01-02
103,Product_Y,Clothing,,,
104,Product_Z,Grocery,,,2024-02-29
105,Product_A,Clothing,invalid,,
106,Product_B,Electronics,385,7,
107,Product_C,Grocery,invalid,,
108,Product_D,Grocery,,ten,2024-02-03
109,Product_E,Clothing,,ten,2024-01-17
110,Product_F,Grocery,invalid,,2024-01-31
111,Product_G,Clothing,1124,5,
112,Product_H,Grocery,,,2024-02-14
113,Product_I,Electronics,invalid,1,
114,Product_J,Clothing,invalid,4,2024-01-10
115,Product_K,Electronics,invalid,,
116,Product_L,Clothing,invalid,ten,
117,Product_M,Clothing,,ten,2024-02-24
118,Product_N,Electronics,1854,,
119,Product_O,Clothing,1569,3,2024-01-03
120,Product_P,Electronics,,ten,
121,Product_Q,Clothing,2241,2,2024-01-14
122,Product_R,Electronics,invalid,ten,
123,Product_S,Electronics,invalid,10,2024-02-23
124,Product_T,Clothing,1557,,2024-02-20
125,Product_U,Grocery,invalid,,2024-01-08
126,Product_V,Electronics,invalid,1,2024-01-03
127,Product_W,Grocery,1954,ten,
128,Product_X,Clothing,2005,ten,
129,Product_Y,Electronics,invalid,4,2024-02-12
130,Product_Z,Electronics,675,,2024-01-25
131,Product_A,Electronics,,ten,
132,Product_B,Grocery,1118,,2024-02-25
133,Product_C,Clothing,invalid,4,2024-01-06
134,Product_D,Clothing,1544,5,
135,Product_E,Clothing,invalid,,2024-01-25
136,Product_F,Clothing,2008,ten,
137,Product_G,Electronics,,ten,
138,Product_H,Clothing,,,2024-01-04
139,Product_I,Electronics,,ten,
140,Product_J,Electronics,,,2024-02-02
141,Product_K,Grocery,invalid,,
142,Product_L,Clothing,invalid,8,2024-01-29
143,Product_M,Grocery,invalid,6,
144,Product_N,Clothing,,10,
145,Product_O,Clothing,,9,2024-02-08
146,Product_P,Grocery,invalid,3,
147,Product_Q,Electronics,2194,,2024-02-13
148,Product_R,Grocery,164,ten,
149,Product_S,Grocery,2407,,2024-02-12
150,Product_T,Grocery,invalid,,2024-02-05
151,Product_U,Clothing,2029,ten,2024-02-28
152,Product_V,Electronics,1686,7,2024-01-14
153,Product_W,Clothing,457,9,2024-02-12
154,Product_X,Electronics,441,,
155,Product_Y,Clothing,1614,ten,
156,Product_Z,Grocery,invalid,6,
157,Product_A,Electronics,,,2024-02-17
158,Product_B,Electronics,1687,2,2024-02-22
159,Product_C,Electronics,151,9,
160,Product_D,Electronics,invalid,,
161,Product_E,Clothing,invalid,,2024-02-14
162,Product_F,Electronics,2303,,
163,Product_G,Clothing,914,,2024-01-19
164,Product_H,Electronics,,10,2024-02-15
165,Product_I,Grocery,invalid,,2024-01-13
166,Product_J,Electronics,invalid,ten,
167,Product_K,Clothing,,2,
168,Product_L,Clothing,,,2024-02-13
169,Product_M,Electronics,1674,10,2024-01-02
170,Product_N,Grocery,1729,,2024-01-14
171,Product_O,Electronics,invalid,,
172,Product_P,Clothing,1503,9,
173,Product_Q,Electronics,2077,1,
174,Product_R,Grocery,invalid,,
175,Product_S,Grocery,,,2024-01-24
176,Product_T,Clothing,276,ten,
177,Product_U,Clothing,283,9,
178,Product_V,Clothing,invalid,ten,2024-02-12
179,Product_W,Electronics,,,
180,Product_X,Clothing,,,
181,Product_Y,Grocery,invalid,2,2024-01-20
182,Product_Z,Electronics,invalid,4,
183,Product_A,Clothing,534,6,2024-02-26
184,Product_B,Clothing,494,,2024-02-17
185,Product_C,Electronics,invalid,ten,2024-01-11
186,Product_D,Clothing,1526,,2024-02-26
187,Product_E,Clothing,331,ten,2024-01-03
188,Product_F,Clothing,invalid,4,2024-01-06
189,Product_G,Clothing,invalid,,2024-02-12
190,Product_H,Grocery,2138,9,2024-02-28
191,Product_I,Grocery,,9,2024-01-29
192,Product_J,Electronics,,ten,
193,Product_K,Electronics,2274,ten,2024-01-10
194,Product_L,Grocery,840,ten,2024-02-06
195,Product_M,Clothing,invalid,ten,2024-01-16
196,Product_N,Grocery,invalid,1,
197,Product_O,Electronics,,10,
198,Product_P,Clothing,1106,2,2024-02-24
199,Product_Q,Grocery,,,
200,Product_R,Grocery,1998,,
201,Product_S,Electronics,524,1,
202,Product_T,Clothing,601,2,
203,Product_U,Grocery,invalid,4,2024-01-19
204,Product_V,Grocery,2022,,2024-02-26
205,Product_W,Clothing,1390,,
206,Product_X,Electronics,,9,
207,Product_Y,Grocery,2329,,
208,Product_Z,Clothing,,10,2024-02-28
209,Product_A,Electronics,638,,
210,Product_B,Clothing,invalid,3,2024-02-28
211,Product_C,Clothing,,,2024-02-20
212,Product_D,Grocery,815,,2024-02-15
213,Product_E,Clothing,invalid,ten,2024-02-15
214,Product_F,Grocery,invalid,2,2024-01-21
215,Product_G,Clothing,invalid,,2024-01-25
216,Product_H,Electronics,invalid,3,2024-01-22
217,Product_I,Clothing,invalid,ten,
218,Product_J,Clothing,,,2024-01-22
219,Product_K,Clothing,invalid,,2024-02-01
220,Product_L,Grocery,2153,ten,2024-01-09
221,Product_M,Grocery,1512,,2024-02-15
222,Product_N,Electronics,invalid,ten,
223,Product_O,Electronics,962,3,
224,Product_P,Grocery,,ten,
225,Product_Q,Grocery,123,1,
226,Product_R,Clothing,424,,2024-01-03
227,Product_S,Electronics,,5,2024-01-14
228,Product_T,Clothing,550,5,
229,Product_U,Grocery,1644,4,
230,Product_V,Clothing,,ten,2024-02-24
231,Product_W,Grocery,,,2024-02-11
232,Product_X,Electronics,invalid,6,2024-01-24
233,Product_Y,Clothing,invalid,ten,
234,Product_Z,Clothing,invalid,ten,
235,Product_A,Electronics,1291,,2024-02-17
236,Product_B,Grocery,2022,,
237,Product_C,Electronics,invalid,ten,2024-02-18
238,Product_D,Clothing,invalid,,
239,Product_E,Grocery,invalid,,2024-01-29
240,Product_F,Electronics,1475,8,
241,Product_G,Grocery,,,
242,Product_H,Electronics,,ten,
243,Product_I,Clothing,2327,ten,
244,Product_J,Grocery,invalid,ten,2024-02-01
245,Product_K,Grocery,invalid,,2024-01-20
246,Product_L,Electronics,710,8,
247,Product_M,Electronics,,,
248,Product_N,Clothing,787,ten,
249,Product_O,Clothing,535,ten,
250,Product_P,Grocery,1028,3,2024-01-14
251,Product_Q,Clothing,,ten,
252,Product_R,Electronics,1624,ten,
253,Product_S,Electronics,invalid,7,
254,Product_T,Clothing,,2,
255,Product_U,Grocery,1510,ten,
256,Product_V,Clothing,1213,,2024-01-17
257,Product_W,Clothing,,3,
258,Product_X,Clothing,1471,2,
259,Product_Y,Grocery,invalid,ten,2024-02-21
260,Product_Z,Grocery,invalid,4,2024-01-05
261,Product_A,Clothing,,,
262,Product_B,Clothing,2118,ten,2024-02-28
263,Product_C,Clothing,invalid,10,2024-02-19
264,Product_D,Clothing,226,,
265,Product_E,Electronics,invalid,,2024-01-18
266,Product_F,Grocery,982,ten,2024-02-17
267,Product_G,Electronics,810,ten,2024-02-20
268,Product_H,Clothing,,,
269,Product_I,Clothing,1237,ten,2024-02-29
270,Product_J,Grocery,1209,ten,
271,Product_K,Electronics,,,2024-01-28
272,Product_L,Clothing,1052,,2024-02-15
273,Product_M,Grocery,invalid,1,
274,Product_N,Grocery,invalid,,
275,Product_O,Grocery,invalid,,2024-01-05
276,Product_P,Clothing,,,2024-01-15
277,Product_Q,Grocery,,,2024-01-18
278,Product_R,Clothing,562,,
279,Product_S,Electronics,1672,,
280,Product_T,Electronics,726,ten,2024-02-12
281,Product_U,Electronics,2406,1,
282,Product_V,Electronics,822,8,
283,Product_W,Electronics,394,,
284,Product_X,Clothing,2418,,2024-02-16
285,Product_Y,Electronics,2178,ten,
286,Product_Z,Electronics,,ten,2024-02-08
287,Product_A,Grocery,invalid,ten,
288,Product_B,Clothing,invalid,ten,
