id,name,category,price,quantity,date
1,Product_A,Clothing,invalid,9,2024-01-03
2,Product_B,Electronics,invalid,,2024-02-01
3,Product_C,Clothing,invalid,,
4,Product_D,Clothing,invalid,ten,2024-01-21
5,Product_E,Grocery,invalid,9,2024-01-28
6,Product_F,Grocery,invalid,ten,2024-02-22
7,Product_G,Clothing,invalid,1,
9,Product_I,Grocery,invalid,2,
11,Product_K,Grocery,,ten,2024-01-05
12,Product_L,Electronics,,1,2024-01-03
13,Product_M,Grocery,,,2024-01-28
15,Product_O,Electronics,invalid,,2024-02-11
16,Product_P,Electronics,,ten,
17,Product_Q,Grocery,invalid,ten,2024-02-23
19,Product_S,Electronics,invalid,3,2024-01-23
22,Product_V,Grocery,invalid,,
23,Product_W,Electronics,,,
24,Product_X,Clothing,invalid,,2024-02-25
25,Product_Y,Electronics,,4,2024-02-06
26,Product_Z,Grocery,,,
29,Product_C,Electronics,,5,2024-01-22
30,Product_D,Grocery,invalid,,2024-02-10
33,Product_G,Grocery,,,2024-01-25
35,Product_I,Clothing,invalid,5,2024-01-24
37,Product_K,Grocery,,ten,2024-02-24
38,Product_L,Electronics,,,2024-01-22
39,Product_M,Clothing,invalid,2,
40,Product_N,Electronics,invalid,8,
42,Product_P,Electronics,,,2024-02-20
43,Product_Q,Clothing,,,
50,Product_X,Electronics,invalid,9,
51,Product_Y,Grocery,invalid,5,
54,Product_B,Clothing,invalid,,2024-01-23
55,Product_C,Electronics,,ten,2024-01-27
56,Product_D,Clothing,,ten,2024-03-01
57,Product_E,Electronics,invalid,ten,2024-02-13
58,Product_F,Clothing,,ten,2024-01-18
59,Product_G,Electronics,invalid,ten,
60,Product_H,Grocery,invalid,9,2024-02-29
61,Product_I,Clothing,,6,2024-03-01
62,Product_J,Grocery,,ten,2024-02-25
63,Product_K,Clothing,,ten,2024-01-21
64,Product_L,Grocery,,,
65,Product_M,Grocery,,3,2024-02-23
66,Product_N,Grocery,,2,2024-02-24
67,Product_O,Electronics,invalid,4,2024-02-06
69,Product_Q,Electronics,,4,
71,Product_S,Grocery,invalid,ten,2024-02-17
73,Product_U,Grocery,invalid,,2024-01-16
74,Product_V,Electronics,invalid,ten,
75,Product_W,Electronics,,ten,
78,Product_Z,Grocery,invalid,5,2024-02-13
80,Product_B,Electronics,,4,2024-01-01
81,Product_C,Electronics,,7,2024-02-23
83,Product_E,Electronics,,4,2024-01-20
84,Product_F,Grocery,invalid,ten,2024-02-23
85,Product_G,Clothing,,,
86,Product_H,Electronics,,2,
87,Product_I,Clothing,,ten,2024-01-11
88,Product_J,Electronics,invalid,,2024-01-07
90,Product_L,Grocery,invalid,,2024-02-19
93,Product_O,Clothing,,ten,2024-02-19
94,Product_P,Clothing,invalid,,
95,Product_Q,Electronics,invalid,ten,
96,Product_R,Electronics,,ten,2024-01-24
98,Product_T,Grocery,,,2024-01-26
101,Product_W,Grocery,invalid,7,
102,Product_X,Grocery,,,2024-01-02
103,Product_Y,Clothing,,,
104,Product_Z,Grocery,,,2024-02-29
105,Product_A,Clothing,invalid,,
107,Product_C,Grocery,invalid,,
108,Product_D,Grocery,,ten,2024-02-03
109,Product_E,Clothing,,ten,2024-01-17
110,Product_F,Grocery,invalid,,2024-01-31
112,Product_H,Grocery,,,2024-02-14
113,Product_I,Electronics,invalid,1,
114,Product_J,Clothing,invalid,4,2024-01-10
115,Product_K,Electronics,invalid,,
116,Product_L,Clothing,invalid,ten,
117,Product_M,Clothing,,ten,2024-02-24
120,Product_P,Electronics,,ten,
122,Product_R,Electronics,invalid,ten,
123,Product_S,Electronics,invalid,10,2024-02-23
125,Product_U,Grocery,invalid,,2024-01-08
126,Product_V,Electronics,invalid,1,2024-01-03
129,Product_Y,Electronics,invalid,4,2024-02-12
131,Product_A,Electronics,,ten,
133,Product_C,Clothing,invalid,4,2024-01-06
135,Product_E,Clothing,invalid,,2024-01-25
137,Product_G,Electronics,,ten,
138,Product_H,Clothing,,,2024-01-04
139,Product_I,Electronics,,ten,
140,Product_J,Electronics,,,2024-02-02
141,Product_K,Grocery,invalid,,
142,Product_L,Clothing,invalid,8,2024-01-29
143,Product_M,Grocery,invalid,6,
144,Product_N,Clothing,,10,
145,Product_O,Clothing,,9,2024-02-08
146,Product_P,Grocery,invalid,3,
150,Product_T,Grocery,invalid,,2024-02-05
156,Product_Z,Grocery,invalid,6,
157,Product_A,Electronics,,,2024-02-17
160,Product_D,Electronics,invalid,,
161,Product_E,Clothing,invalid,,2024-02-14
164,Product_H,Electronics,,10,2024-02-15
165,Product_I,Grocery,invalid,,2024-01-13
166,Product_J,Electronics,invalid,ten,
167,Product_K,Clothing,,2,
168,Product_L,Clothing,,,2024-02-13
171,Product_O,Electronics,invalid,,
174,Product_R,Grocery,invalid,,
175,Product_S,Grocery,,,2024-01-24
178,Product_V,Clothing,invalid,ten,2024-02-12
179,Product_W,Electronics,,,
180,Product_X,Clothing,,,
181,Product_Y,Grocery,invalid,2,2024-01-20
182,Product_Z,Electronics,invalid,4,
185,Product_C,Electronics,invalid,ten,2024-01-11
188,Product_F,Clothing,invalid,4,2024-01-06
189,Product_G,Clothing,invalid,,2024-02-12
191,Product_I,Grocery,,9,2024-01-29
192,Product_J,Electronics,,ten,
195,Product_M,Clothing,invalid,ten,2024-01-16
196,Product_N,Grocery,invalid,1,
197,Product_O,Electronics,,10,
199,Product_Q,Grocery,,,
203,Product_U,Grocery,invalid,4,2024-01-19
206,Product_X,Electronics,,9,
208,Product_Z,Clothing,,10,2024-02-28
210,Product_B,Clothing,invalid,3,2024-02-28
211,Product_C,Clothing,,,2024-02-20
213,Product_E,Clothing,invalid,ten,2024-02-15
214,Product_F,Grocery,invalid,2,2024-01-21
215,Product_G,Clothing,invalid,,2024-01-25
216,Product_H,Electronics,invalid,3,2024-01-22
217,Product_I,Clothing,invalid,ten,
218,Product_J,Clothing,,,2024-01-22
219,Product_K,Clothing,invalid,,2024-02-01
222,Product_N,Electronics,invalid,ten,
224,Product_P,Grocery,,ten,
227,Product_S,Electronics,,5,2024-01-14
230,Product_V,Clothing,,ten,2024-02-24
231,Product_W,Grocery,,,2024-02-11
232,Product_X,Electronics,invalid,6,2024-01-24
233,Product_Y,Clothing,invalid,ten,
234,Product_Z,Clothing,invalid,ten,
237,Product_C,Electronics,invalid,ten,2024-02-18
238,Product_D,Clothing,invalid,,
239,Product_E,Grocery,invalid,,2024-01-29
241,Product_G,Grocery,,,
242,Product_H,Electronics,,ten,
244,Product_J,Grocery,invalid,ten,2024-02-01
245,Product_K,Grocery,invalid,,2024-01-20
247,Product_M,Electronics,,,
251,Product_Q,Clothing,,ten,
253,Product_S,Electronics,invalid,7,
254,Product_T,Clothing,,2,
257,Product_W,Clothing,,3,
259,Product_Y,Grocery,invalid,ten,2024-02-21
260,Product_Z,Grocery,invalid,4,2024-01-05
261,Product_A,Clothing,,,
263,Product_C,Clothing,invalid,10,2024-02-19
265,Product_E,Electronics,invalid,,2024-01-18
268,Product_H,Clothing,,,
271,Product_K,Electronics,,,2024-01-28
273,Product_M,Grocery,invalid,1,
274,Product_N,Grocery,invalid,,
275,Product_O,Grocery,invalid,,2024-01-05
276,Product_P,Clothing,,,2024-01-15
277,Product_Q,Grocery,,,2024-01-18
286,Product_Z,Electronics,,ten,2024-02-08
287,Product_A,Grocery,invalid,ten,
288,Product_B,Clothing,invalid,ten,
289,Product_C,Clothing,,ten,2024-02-02
290,Product_D,Grocery,,,
292,Product_F,Clothing,,2,
293,Product_G,Clothing,,2,
295,Product_I,Clothing,invalid,,2024-01-06
296,Product_J,Electronics,,7,2024-02-03
298,Product_L,Clothing,invalid,7,2024-01-24
299,Product_M,Electronics,,,2024-02-27
300,Product_N,Grocery,,ten,
302,Product_P,Grocery,,3,2024-01-14
303,Product_Q,Grocery,,,
304,Product_R,Clothing,,,
305,Product_S,Electronics,invalid,2,2024-02-28
306,Product_T,Electronics,,ten,2024-01-18
307,Product_U,Electronics,,2,2024-02-12
308,Product_V,Electronics,invalid,,2024-01-30
309,Product_W,Electronics,,,
310,Product_X,Clothing,invalid,ten,
311,Product_Y,Electronics,,,2024-01-15
313,Product_A,Clothing,,,2024-02-11
315,Product_C,Clothing,invalid,,
316,Product_D,Electronics,invalid,10,2024-02-24
317,Product_E,Electronics,,6,2024-02-14
318,Product_F,Clothing,,,
322,Product_J,Grocery,,2,2024-01-28
324,Product_L,Clothing,,ten,
325,Product_M,Grocery,invalid,ten,2024-01-30
327,Product_O,Electronics,invalid,3,
329,Product_Q,Grocery,invalid,9,2024-01-17
330,Product_R,Grocery,invalid,ten,
333,Product_U,Clothing,invalid,3,2024-02-01
334,Product_V,Electronics,invalid,ten,
335,Product_W,Electronics,invalid,ten,2024-02-22
336,Product_X,Grocery,,ten,
338,Product_Z,Grocery,invalid,ten,
339,Product_A,Grocery,invalid,,2024-01-20
340,Product_B,Grocery,,,
341,Product_C,Clothing,invalid,ten,2024-02-08
344,Product_F,Grocery,invalid,4,2024-02-22
345,Product_G,Grocery,invalid,ten,
346,Product_H,Electronics,invalid,7,
347,Product_I,Electronics,invalid,,
350,Product_L,Electronics,invalid,,
354,Product_P,Electronics,invalid,,2024-02-14
355,Product_Q,Clothing,,5,2024-02-15
359,Product_U,Grocery,invalid,,
360,Product_V,Electronics,invalid,ten,
361,Product_W,Clothing,invalid,2,2024-01-10
362,Product_X,Grocery,invalid,,2024-01-05
363,Product_Y,Electronics,,,
364,Product_Z,Grocery,,9,2024-02-13
365,Product_A,Electronics,invalid,ten,2024-02-16
366,Product_B,Clothing,invalid,ten,
368,Product_D,Grocery,invalid,,2024-02-06
369,Product_E,Clothing,invalid,1,
372,Product_H,Electronics,invalid,ten,2024-01-27
373,Product_I,Clothing,invalid,4,2024-01-09
374,Product_J,Clothing,invalid,,2024-01-06
375,Product_K,Grocery,invalid,3,2024-02-22
377,Product_M,Grocery,,ten,
378,Product_N,Clothing,,ten,
379,Product_O,Electronics,invalid,ten,2024-01-08
380,Product_P,Clothing,invalid,9,
381,Product_Q,Electronics,,,
382,Product_R,Grocery,,5,
383,Product_S,Clothing,,4,2024-01-09
384,Product_T,Grocery,,,2024-02-23
386,Product_V,Clothing,,,
388,Product_X,Grocery,invalid,ten,
389,Product_Y,Grocery,invalid,ten,2024-01-22
390,Product_Z,Grocery,,ten,
391,Product_A,Electronics,,,2024-01-08
392,Product_B,Grocery,invalid,1,2024-03-01
393,Product_C,Electronics,invalid,,2024-01-09
395,Product_E,Clothing,,4,
396,Product_F,Electronics,,ten,
398,Product_H,Grocery,,,2024-01-28
399,Product_I,Clothing,invalid,ten,2024-02-05
402,Product_L,Electronics,invalid,,2024-02-18
403,Product_M,Electronics,invalid,,2024-02-17
404,Product_N,Electronics,invalid,1,
405,Product_O,Clothing,invalid,,
406,Product_P,Electronics,,ten,
407,Product_Q,Grocery,,ten,2024-02-23
410,Product_T,Grocery,invalid,5,
411,Product_U,Grocery,invalid,ten,2024-01-06
413,Product_W,Clothing,,ten,
417,Product_A,Clothing,invalid,ten,
418,Product_B,Clothing,invalid,1,2024-02-03
420,Product_D,Grocery,,ten,2024-02-20
421,Product_E,Grocery,,,2024-01-03
422,Product_F,Electronics,invalid,10,
424,Product_H,Electronics,invalid,2,
425,Product_I,Grocery,,,
427,Product_K,Grocery,invalid,,
428,Product_L,Grocery,,ten,2024-01-09
429,Product_M,Electronics,,ten,2024-02-23
430,Product_N,Clothing,invalid,ten,
431,Product_O,Clothing,invalid,,
434,Product_R,Grocery,,ten,2024-01-03
435,Product_S,Electronics,invalid,,
436,Product_T,Clothing,,10,
438,Product_V,Grocery,invalid,1,
439,Product_W,Clothing,invalid,,2024-02-04
440,Product_X,Electronics,invalid,ten,
443,Product_A,Electronics,,9,2024-01-28
446,Product_D,Clothing,invalid,ten,2024-01-20
448,Product_F,Clothing,invalid,9,
455,Product_M,Grocery,,,2024-01-21
458,Product_P,Grocery,invalid,1,2024-02-11
459,Product_Q,Clothing,,10,2024-01-06
460,Product_R,Electronics,,,
463,Product_U,Grocery,invalid,10,
