id,name,category,price,quantity,date,error
1,Product_A,Clothing,invalid,9,2024-01-03,"1 validation error for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing"
2,Product_B,Electronics,invalid,,2024-02-01,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
3,Product_C,Clothing,invalid,,,"3 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
4,Product_D,Clothing,invalid,ten,2024-01-21,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing"
5,Product_E,Grocery,invalid,9,2024-01-28,"1 validation error for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing"
6,Product_F,Grocery,invalid,ten,2024-02-22,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing"
7,Product_G,Clothing,invalid,1,,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
8,Product_H,Clothing,1499,ten,2024-02-22,"1 validation error for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing"
9,Product_I,Grocery,invalid,2,,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
10,Product_J,Clothing,1144,,2024-02-22,"1 validation error for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
11,Product_K,Grocery,,ten,2024-01-05,"1 validation error for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing"
13,Product_M,Grocery,,,2024-01-28,"1 validation error for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
14,Product_N,Grocery,868,6,,"1 validation error for Product
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
15,Product_O,Electronics,invalid,,2024-02-11,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
16,Product_P,Electronics,,ten,,"2 validation errors for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
17,Product_Q,Grocery,invalid,ten,2024-02-23,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing"
18,Product_R,Grocery,2343,,2024-02-02,"1 validation error for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
19,Product_S,Electronics,invalid,3,2024-01-23,"1 validation error for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing"
20,Product_T,Clothing,627,ten,2024-01-03,"1 validation error for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing"
21,Product_U,Grocery,1727,3,,"1 validation error for Product
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
22,Product_V,Grocery,invalid,,,"3 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
23,Product_W,Electronics,,,,"2 validation errors for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
24,Product_X,Clothing,invalid,,2024-02-25,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
26,Product_Z,Grocery,,,,"2 validation errors for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
28,Product_B,Electronics,1017,10,,"1 validation error for Product
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
30,Product_D,Grocery,invalid,,2024-02-10,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
32,Product_F,Electronics,1874,ten,,"2 validation errors for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
33,Product_G,Grocery,,,2024-01-25,"1 validation error for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
34,Product_H,Grocery,1870,ten,2024-01-08,"1 validation error for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing"
35,Product_I,Clothing,invalid,5,2024-01-24,"1 validation error for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing"
36,Product_J,Clothing,394,ten,,"2 validation errors for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
37,Product_K,Grocery,,ten,2024-02-24,"1 validation error for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing"
38,Product_L,Electronics,,,2024-01-22,"1 validation error for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
39,Product_M,Clothing,invalid,2,,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
40,Product_N,Electronics,invalid,8,,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
41,Product_O,Electronics,2478,,,"2 validation errors for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
42,Product_P,Electronics,,,2024-02-20,"1 validation error for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
43,Product_Q,Clothing,,,,"2 validation errors for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
44,Product_R,Clothing,178,1,,"1 validation error for Product
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
45,Product_S,Grocery,1244,9,,"1 validation error for Product
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
46,Product_T,Grocery,780,ten,,"2 validation errors for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
47,Product_U,Electronics,1874,,2024-01-17,"1 validation error for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
48,Product_V,Clothing,1986,,2024-01-07,"1 validation error for Product
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
50,Product_X,Electronics,invalid,9,,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
51,Product_Y,Grocery,invalid,5,,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
date
  Input should be a valid string [type=string_type, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/string_type"
52,Product_Z,Clothing,1890,ten,2024-02-06,"1 validation error for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing"
54,Product_B,Clothing,invalid,,2024-01-23,"2 validation errors for Product
price
  Input should be a valid number, unable to parse string as a number [type=float_parsing, input_value='invalid', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/float_parsing
quantity
  Input should be a finite number [type=finite_number, input_value=nan, input_type=float]
    For further information visit https://errors.pydantic.dev/2.12/v/finite_number"
55,Product_C,Electronics,,ten,2024-01-27,"1 validation error for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing"
56,Product_D,Clothing,,ten,2024-03-01,"1 validation error for Product
quantity
  Input should be a valid integer, unable to parse string as an integer [type=int_parsing, input_value='ten', input_type=str]
    For further information visit https://errors.pydantic.dev/2.12/v/int_parsing"
