id,name,category,price,quantity,date
8,Product_H,Clothing,1499.0,ten,2024-02-22
10,Product_J,Clothing,1144.0,,2024-02-22
14,Product_N,Grocery,868.0,6,
18,Product_R,Grocery,2343.0,,2024-02-02
20,Product_T,Clothing,627.0,ten,2024-01-03
21,Product_U,Grocery,1727.0,3,
27,Product_A,Clothing,2430.0,5,2024-02-12
28,Product_B,Electronics,1017.0,10,
31,Product_E,Electronics,1690.0,8,2024-02-15
32,Product_F,Electronics,1874.0,ten,
34,Product_H,Grocery,1870.0,ten,2024-01-08
36,Product_J,Clothing,394.0,ten,
41,Product_O,Electronics,2478.0,,
44,Product_R,Clothing,178.0,1,
45,Product_S,Grocery,1244.0,9,
46,Product_T,Grocery,780.0,ten,
47,Product_U,Electronics,1874.0,,2024-01-17
48,Product_V,Clothing,1986.0,,2024-01-07
49,Product_W,Grocery,1632.0,7,2024-02-18
52,Product_Z,Clothing,1890.0,ten,2024-02-06
53,Product_A,Electronics,1082.0,10,2024-02-08
68,Product_P,Electronics,2466.0,ten,
70,Product_R,Grocery,1377.0,ten,2024-02-09
72,Product_T,Electronics,1448.0,,
76,Product_X,Clothing,1903.0,6,
77,Product_Y,Clothing,2425.0,6,2024-01-04
79,Product_A,Electronics,528.0,ten,2024-01-08
82,Product_D,Electronics,758.0,ten,
89,Product_K,Clothing,2431.0,2,2024-02-15
91,Product_M,Clothing,264.0,,
92,Product_N,Grocery,1180.0,,2024-02-26
97,Product_S,Electronics,1120.0,8,
99,Product_U,Grocery,2486.0,,
100,Product_V,Electronics,2189.0,ten,2024-01-07
106,Product_B,Electronics,385.0,7,
111,Product_G,Clothing,1124.0,5,
118,Product_N,Electronics,1854.0,,
119,Product_O,Clothing,1569.0,3,2024-01-03
121,Product_Q,Clothing,2241.0,2,2024-01-14
124,Product_T,Clothing,1557.0,,2024-02-20
127,Product_W,Grocery,1954.0,ten,
128,Product_X,Clothing,2005.0,ten,
130,Product_Z,Electronics,675.0,,2024-01-25
132,Product_B,Grocery,1118.0,,2024-02-25
134,Product_D,Clothing,1544.0,5,
136,Product_F,Clothing,2008.0,ten,
147,Product_Q,Electronics,2194.0,,2024-02-13
148,Product_R,Grocery,164.0,ten,
149,Product_S,Grocery,2407.0,,2024-02-12
151,Product_U,Clothing,2029.0,ten,2024-02-28
152,Product_V,Electronics,1686.0,7,2024-01-14
153,Product_W,Clothing,457.0,9,2024-02-12
154,Product_X,Electronics,441.0,,
155,Product_Y,Clothing,1614.0,ten,
158,Product_B,Electronics,1687.0,2,2024-02-22
159,Product_C,Electronics,151.0,9,
162,Product_F,Electronics,2303.0,,
163,Product_G,Clothing,914.0,,2024-01-19
169,Product_M,Electronics,1674.0,10,2024-01-02
170,Product_N,Grocery,1729.0,,2024-01-14
172,Product_P,Clothing,1503.0,9,
173,Product_Q,Electronics,2077.0,1,
176,Product_T,Clothing,276.0,ten,
177,Product_U,Clothing,283.0,9,
183,Product_A,Clothing,534.0,6,2024-02-26
184,Product_B,Clothing,494.0,,2024-02-17
186,Product_D,Clothing,1526.0,,2024-02-26
187,Product_E,Clothing,331.0,ten,2024-01-03
190,Product_H,Grocery,2138.0,9,2024-02-28
193,Product_K,Electronics,2274.0,ten,2024-01-10
194,Product_L,Grocery,840.0,ten,2024-02-06
198,Product_P,Clothing,1106.0,2,2024-02-24
200,Product_R,Grocery,1998.0,,
201,Product_S,Electronics,524.0,1,
202,Product_T,Clothing,601.0,2,
204,Product_V,Grocery,2022.0,,2024-02-26
205,Product_W,Clothing,1390.0,,
207,Product_Y,Grocery,2329.0,,
209,Product_A,Electronics,638.0,,
212,Product_D,Grocery,815.0,,2024-02-15
220,Product_L,Grocery,2153.0,ten,2024-01-09
221,Product_M,Grocery,1512.0,,2024-02-15
223,Product_O,Electronics,962.0,3,
225,Product_Q,Grocery,123.0,1,
226,Product_R,Clothing,424.0,,2024-01-03
228,Product_T,Clothing,550.0,5,
229,Product_U,Grocery,1644.0,4,
235,Product_A,Electronics,1291.0,,2024-02-17
236,Product_B,Grocery,2022.0,,
240,Product_F,Electronics,1475.0,8,
243,Product_I,Clothing,2327.0,ten,
246,Product_L,Electronics,710.0,8,
248,Product_N,Clothing,787.0,ten,
249,Product_O,Clothing,535.0,ten,
250,Product_P,Grocery,1028.0,3,2024-01-14
252,Product_R,Electronics,1624.0,ten,
255,Product_U,Grocery,1510.0,ten,
256,Product_V,Clothing,1213.0,,2024-01-17
258,Product_X,Clothing,1471.0,2,
262,Product_B,Clothing,2118.0,ten,2024-02-28
264,Product_D,Clothing,226.0,,
266,Product_F,Grocery,982.0,ten,2024-02-17
267,Product_G,Electronics,810.0,ten,2024-02-20
269,Product_I,Clothing,1237.0,ten,2024-02-29
270,Product_J,Grocery,1209.0,ten,
272,Product_L,Clothing,1052.0,,2024-02-15
278,Product_R,Clothing,562.0,,
279,Product_S,Electronics,1672.0,,
280,Product_T,Electronics,726.0,ten,2024-02-12
281,Product_U,Electronics,2406.0,1,
282,Product_V,Electronics,822.0,8,
283,Product_W,Electronics,394.0,,
284,Product_X,Clothing,2418.0,,2024-02-16
285,Product_Y,Electronics,2178.0,ten,
291,Product_E,Grocery,2324.0,,2024-02-01
294,Product_H,Clothing,1728.0,6,
297,Product_K,Clothing,2442.0,,
301,Product_O,Clothing,1415.0,7,2024-02-06
312,Product_Z,Clothing,2014.0,ten,
314,Product_B,Grocery,1717.0,,
319,Product_G,Electronics,2171.0,ten,
320,Product_H,Grocery,915.0,ten,2024-02-18
321,Product_I,Clothing,1574.0,,2024-02-07
323,Product_K,Clothing,530.0,1,
326,Product_N,Electronics,1348.0,,2024-01-04
328,Product_P,Grocery,499.0,9,2024-02-03
331,Product_S,Grocery,1479.0,,
332,Product_T,Electronics,859.0,9,
337,Product_Y,Clothing,2239.0,8,
342,Product_D,Grocery,1121.0,,2024-01-19
343,Product_E,Clothing,2316.0,ten,2024-02-22
348,Product_J,Grocery,501.0,9,
349,Product_K,Clothing,358.0,ten,
351,Product_M,Clothing,749.0,ten,
352,Product_N,Grocery,1973.0,ten,
353,Product_O,Electronics,1317.0,,
356,Product_R,Electronics,2423.0,ten,2024-01-24
357,Product_S,Grocery,1814.0,,
358,Product_T,Clothing,1497.0,,2024-01-04
367,Product_C,Electronics,850.0,ten,2024-02-11
370,Product_F,Electronics,1658.0,ten,
371,Product_G,Grocery,1620.0,,
376,Product_L,Grocery,1828.0,9,
385,Product_U,Clothing,2228.0,9,
387,Product_W,Clothing,1173.0,7,2024-01-04
394,Product_D,Clothing,1279.0,4,
397,Product_G,Electronics,1251.0,ten,2024-02-29
400,Product_J,Clothing,1618.0,ten,2024-02-12
