id,name,category,price,quantity,date,error
1,Product_A,Clothing,,9,2024-01-03,Invalid price or category
2,Product_B,Electronics,,,2024-02-01,Invalid price or category
3,Product_C,Clothing,,,,Invalid price or category
4,Product_D,Clothing,,ten,2024-01-21,Invalid price or category
5,Product_E,Grocery,,9,2024-01-28,Invalid price or category
6,Product_F,Grocery,,ten,2024-02-22,Invalid price or category
7,Product_G,Clothing,,1,,Invalid price or category
9,Product_I,Grocery,,2,,Invalid price or category
11,Product_K,Grocery,,ten,2024-01-05,Invalid price or category
12,Product_L,Electronics,,1,2024-01-03,Invalid price or category
13,Product_M,Grocery,,,2024-01-28,Invalid price or category
15,Product_O,Electronics,,,2024-02-11,Invalid price or category
16,Product_P,Electronics,,ten,,Invalid price or category
17,Product_Q,Grocery,,ten,2024-02-23,Invalid price or category
19,Product_S,Electronics,,3,2024-01-23,Invalid price or category
22,Product_V,Grocery,,,,Invalid price or category
23,Product_W,Electronics,,,,Invalid price or category
24,Product_X,Clothing,,,2024-02-25,Invalid price or category
25,Product_Y,Electronics,,4,2024-02-06,Invalid price or category
26,Product_Z,Grocery,,,,Invalid price or category
29,Product_C,Electronics,,5,2024-01-22,Invalid price or category
30,Product_D,Grocery,,,2024-02-10,Invalid price or category
33,Product_G,Grocery,,,2024-01-25,Invalid price or category
35,Product_I,Clothing,,5,2024-01-24,Invalid price or category
37,Product_K,Grocery,,ten,2024-02-24,Invalid price or category
38,Product_L,Electronics,,,2024-01-22,Invalid price or category
39,Product_M,Clothing,,2,,Invalid price or category
40,Product_N,Electronics,,8,,Invalid price or category
42,Product_P,Electronics,,,2024-02-20,Invalid price or category
43,Product_Q,Clothing,,,,Invalid price or category
50,Product_X,Electronics,,9,,Invalid price or category
51,Product_Y,Grocery,,5,,Invalid price or category
54,Product_B,Clothing,,,2024-01-23,Invalid price or category
55,Product_C,Electronics,,ten,2024-01-27,Invalid price or category
56,Product_D,Clothing,,ten,2024-03-01,Invalid price or category
57,Product_E,Electronics,,ten,2024-02-13,Invalid price or category
58,Product_F,Clothing,,ten,2024-01-18,Invalid price or category
59,Product_G,Electronics,,ten,,Invalid price or category
60,Product_H,Grocery,,9,2024-02-29,Invalid price or category
61,Product_I,Clothing,,6,2024-03-01,Invalid price or category
62,Product_J,Grocery,,ten,2024-02-25,Invalid price or category
63,Product_K,Clothing,,ten,2024-01-21,Invalid price or category
64,Product_L,Grocery,,,,Invalid price or category
65,Product_M,Grocery,,3,2024-02-23,Invalid price or category
66,Product_N,Grocery,,2,2024-02-24,Invalid price or category
67,Product_O,Electronics,,4,2024-02-06,Invalid price or category
69,Product_Q,Electronics,,4,,Invalid price or category
71,Product_S,Grocery,,ten,2024-02-17,Invalid price or category
73,Product_U,Grocery,,,2024-01-16,Invalid price or category
74,Product_V,Electronics,,ten,,Invalid price or category
75,Product_W,Electronics,,ten,,Invalid price or category
78,Product_Z,Grocery,,5,2024-02-13,Invalid price or category
